epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8943,2.01965,4.94237,1.28963,0.53841,0.48404,0.49441,0.28628,1.43621,2.41599,1.03373,0.00047324,0.00047324,0.00047324
2,139.079,1.61125,2.71326,1.09259,0.7617,0.60326,0.69569,0.40712,1.36515,2.02745,0.99007,0.00090257,0.00090257,0.00090257
3,263.766,1.53863,2.42266,1.07146,0.76587,0.65323,0.70142,0.4226,1.34911,1.8855,1.0005,0.00128474,0.00128474,0.00128474
4,354.715,1.49707,2.22816,1.06576,0.7004,0.51386,0.58412,0.36303,1.25797,2.28274,0.9792,0.00121679,0.00121679,0.00121679
5,389.719,1.47252,2.10109,1.04955,0.76772,0.71495,0.77219,0.47348,1.29939,1.72617,0.99684,0.00114606,0.00114606,0.00114606
6,432.97,1.41625,1.97072,1.04175,0.83746,0.73302,0.78501,0.5016,1.22651,1.5478,0.97533,0.00107532,0.00107532,0.00107532
7,471.244,1.41079,1.93051,1.04053,0.83927,0.68169,0.76285,0.4836,1.21302,1.61788,0.95851,0.00100459,0.00100459,0.00100459
8,497.193,1.37975,1.8718,1.03185,0.87014,0.77329,0.81419,0.53136,1.16695,1.39553,0.95473,0.000933851,0.000933851,0.000933851
9,515.711,1.35217,1.78505,1.02198,0.85871,0.76834,0.8103,0.54021,1.13796,1.37735,0.93907,0.000863116,0.000863116,0.000863116
10,532.865,1.3578,1.78936,1.01168,0.90615,0.75978,0.81701,0.52356,1.18916,1.33454,0.95329,0.00079238,0.00079238,0.00079238
11,550.159,1.21147,1.53178,1.03014,0.89224,0.77035,0.81991,0.53692,1.18825,1.36463,0.96101,0.000721645,0.000721645,0.000721645
12,563.404,1.1532,1.37942,1.00557,0.87906,0.78584,0.82654,0.54637,1.14686,1.27759,0.94023,0.000650909,0.000650909,0.000650909
13,572.097,1.13912,1.35969,1.00784,0.90653,0.7864,0.83627,0.56423,1.16207,1.23186,0.94736,0.000580174,0.000580174,0.000580174
14,578.323,1.15639,1.33055,1.00692,0.88667,0.80045,0.84254,0.56798,1.13625,1.18056,0.94658,0.000509438,0.000509438,0.000509438
15,584.787,1.12735,1.26227,0.99461,0.85819,0.80812,0.83763,0.55774,1.15245,1.23475,0.94244,0.000438703,0.000438703,0.000438703
16,590.994,1.1007,1.23395,0.98748,0.93307,0.79823,0.84877,0.58926,1.08082,1.12788,0.9231,0.000367967,0.000367967,0.000367967
17,597.082,1.08593,1.17097,0.97682,0.92171,0.79495,0.85833,0.57813,1.12202,1.12457,0.93487,0.000297232,0.000297232,0.000297232
18,603.252,1.08529,1.16047,0.97196,0.89762,0.7975,0.84056,0.58025,1.09837,1.14164,0.92569,0.000226497,0.000226497,0.000226497
19,609.287,1.05959,1.12444,0.96262,0.90822,0.80707,0.84923,0.59403,1.06927,1.08026,0.91694,0.000155761,0.000155761,0.000155761
20,615.093,1.04984,1.09819,0.95406,0.89399,0.81956,0.86149,0.60114,1.0597,1.05124,0.91362,8.50255e-05,8.50255e-05,8.50255e-05
