epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9744,2.79767,5.86848,1.04087,0.43317,0.21101,0.20174,0.08704,2.59422,4.24176,0.89418,0.000661654,0.000661654,0.000661654
2,48.9434,2.65613,4.47433,0.93512,0.49266,0.26096,0.26742,0.10825,2.55844,3.99983,0.82267,0.00126257,0.00126257,0.00126257
3,88.9383,2.6872,4.36447,0.92744,0.43096,0.25229,0.24536,0.10867,2.49937,5.21949,0.86514,0.00179748,0.00179748,0.00179748
4,103.705,2.64896,4.26498,0.91358,0.57654,0.31753,0.33784,0.14326,2.37293,3.72419,0.80175,0.001703,0.001703,0.001703
5,121.727,2.59287,4.14206,0.88638,0.51875,0.36035,0.36118,0.16417,2.33075,3.51802,0.79518,0.001604,0.001604,0.001604
6,158.76,2.54771,3.97654,0.88102,0.51121,0.32824,0.34852,0.15074,2.35707,3.54948,0.7884,0.001505,0.001505,0.001505
7,200.288,2.491,3.84634,0.85979,0.62152,0.38083,0.4126,0.17297,2.29246,3.11356,0.75115,0.001406,0.001406,0.001406
8,222.342,2.48935,3.8254,0.85452,0.68038,0.37323,0.41656,0.19045,2.24005,2.86186,0.74436,0.001307,0.001307,0.001307
9,243.129,2.4183,3.68422,0.84583,0.65937,0.38873,0.4356,0.19907,2.19947,3.16228,0.75926,0.001208,0.001208,0.001208
10,291.058,2.39762,3.65418,0.83722,0.6532,0.3843,0.42968,0.18973,2.17418,3.1293,0.73772,0.001109,0.001109,0.001109
11,360.039,2.13621,3.21209,0.74736,0.63722,0.37768,0.42662,0.18903,2.17896,2.91092,0.73844,0.00101,0.00101,0.00101
12,426.605,2.11666,2.95954,0.74006,0.64811,0.429,0.46256,0.21033,2.1594,2.92056,0.73325,0.000911,0.000911,0.000911
13,570.33,2.04721,2.84074,0.73245,0.7189,0.44495,0.50218,0.22109,2.08632,2.68948,0.72512,0.000812,0.000812,0.000812
14,620.003,2.02338,2.71823,0.71522,0.72374,0.45515,0.52227,0.24507,2.09166,2.54992,0.72165,0.000713,0.000713,0.000713
15,662.938,2.01548,2.67727,0.71605,0.72677,0.45005,0.51695,0.24674,2.05472,2.48285,0.71831,0.000614,0.000614,0.000614
16,702.066,1.96753,2.55715,0.70978,0.73547,0.46942,0.53146,0.25083,2.01819,2.52623,0.70189,0.000515,0.000515,0.000515
17,739.074,1.93078,2.45029,0.69594,0.75841,0.47359,0.54027,0.2599,1.98437,2.43796,0.70197,0.000416,0.000416,0.000416
18,765.104,1.90338,2.37499,0.69263,0.72525,0.47095,0.52895,0.25096,1.95315,2.4899,0.69482,0.000317,0.000317,0.000317
19,787.537,1.85922,2.34915,0.68513,0.76503,0.48012,0.55199,0.27118,1.94521,2.33878,0.69734,0.000218,0.000218,0.000218
20,809.661,1.85207,2.26708,0.6853,0.76296,0.48012,0.55513,0.27161,1.94547,2.3576,0.69511,0.000119,0.000119,0.000119
